"year","value","state","item","units","base"
2022,262.2356,"AL","Total Personal Income","Billion Dollars","Nominal"
2023,276.92555,"AL","Total Personal Income","Billion Dollars","Nominal"
2024,289.9584,"AL","Total Personal Income","Billion Dollars","Nominal"
1948,NA,"AK","Total Personal Income","Billion Dollars","Nominal"
1949,NA,"AK","Total Personal Income","Billion Dollars","Nominal"
1950,0.391375,"AK","Total Personal Income","Billion Dollars","Nominal"
1951,0.537425,"AK","Total Personal Income","Billion Dollars","Nominal"
1952,0.615225,"AK","Total Personal Income","Billion Dollars","Nominal"
1953,0.6496,"AK","Total Personal Income","Billion Dollars","Nominal"
1954,0.629275,"AK","Total Personal Income","Billion Dollars","Nominal"
1955,0.6407,"AK","Total Personal Income","Billion Dollars","Nominal"
1956,0.676825,"AK","Total Personal Income","Billion Dollars","Nominal"
1957,0.669325,"AK","Total Personal Income","Billion Dollars","Nominal"
1958,0.6722,"AK","Total Personal Income","Billion Dollars","Nominal"
1959,0.7003,"AK","Total Personal Income","Billion Dollars","Nominal"
1960,0.806325,"AK","Total Personal Income","Billion Dollars","Nominal"
1961,0.796475,"AK","Total Personal Income","Billion Dollars","Nominal"
1962,0.830975,"AK","Total Personal Income","Billion Dollars","Nominal"
1963,0.9007,"AK","Total Personal Income","Billion Dollars","Nominal"
1964,1.008575,"AK","Total Personal Income","Billion Dollars","Nominal"
1965,1.08845,"AK","Total Personal Income","Billion Dollars","Nominal"
1966,1.158675,"AK","Total Personal Income","Billion Dollars","Nominal"
1967,1.26365,"AK","Total Personal Income","Billion Dollars","Nominal"
1968,1.3651,"AK","Total Personal Income","Billion Dollars","Nominal"
1969,1.575325,"AK","Total Personal Income","Billion Dollars","Nominal"
1970,1.79895,"AK","Total Personal Income","Billion Dollars","Nominal"
1971,1.984125,"AK","Total Personal Income","Billion Dollars","Nominal"
1972,2.166775,"AK","Total Personal Income","Billion Dollars","Nominal"
1973,2.50765,"AK","Total Personal Income","Billion Dollars","Nominal"
1974,3.04265,"AK","Total Personal Income","Billion Dollars","Nominal"
1975,4.1568,"AK","Total Personal Income","Billion Dollars","Nominal"
1976,4.8933,"AK","Total Personal Income","Billion Dollars","Nominal"
1977,5.081875,"AK","Total Personal Income","Billion Dollars","Nominal"
1978,5.2359,"AK","Total Personal Income","Billion Dollars","Nominal"
1979,5.5464,"AK","Total Personal Income","Billion Dollars","Nominal"
1980,6.285375,"AK","Total Personal Income","Billion Dollars","Nominal"
1981,7.150525,"AK","Total Personal Income","Billion Dollars","Nominal"
1982,8.730125,"AK","Total Personal Income","Billion Dollars","Nominal"
1983,9.51385,"AK","Total Personal Income","Billion Dollars","Nominal"
1984,10.114875,"AK","Total Personal Income","Billion Dollars","Nominal"
1985,10.962025,"AK","Total Personal Income","Billion Dollars","Nominal"
1986,11.060475,"AK","Total Personal Income","Billion Dollars","Nominal"
1987,10.592875,"AK","Total Personal Income","Billion Dollars","Nominal"
1988,11.0599,"AK","Total Personal Income","Billion Dollars","Nominal"
1989,12.10135,"AK","Total Personal Income","Billion Dollars","Nominal"
1990,12.84025,"AK","Total Personal Income","Billion Dollars","Nominal"
1991,13.40955,"AK","Total Personal Income","Billion Dollars","Nominal"
1992,14.26345,"AK","Total Personal Income","Billion Dollars","Nominal"
1993,14.99755,"AK","Total Personal Income","Billion Dollars","Nominal"
1994,15.499875,"AK","Total Personal Income","Billion Dollars","Nominal"
1995,15.9377,"AK","Total Personal Income","Billion Dollars","Nominal"
1996,16.3766,"AK","Total Personal Income","Billion Dollars","Nominal"
1997,17.297525,"AK","Total Personal Income","Billion Dollars","Nominal"
1998,18.15595,"AK","Total Personal Income","Billion Dollars","Nominal"
1999,18.70665,"AK","Total Personal Income","Billion Dollars","Nominal"
2000,20.092175,"AK","Total Personal Income","Billion Dollars","Nominal"
2001,21.287125,"AK","Total Personal Income","Billion Dollars","Nominal"
2002,22.331475,"AK","Total Personal Income","Billion Dollars","Nominal"
2003,23.372125,"AK","Total Personal Income","Billion Dollars","Nominal"
2004,24.42915,"AK","Total Personal Income","Billion Dollars","Nominal"
2005,26.0196,"AK","Total Personal Income","Billion Dollars","Nominal"
2006,27.6962,"AK","Total Personal Income","Billion Dollars","Nominal"
2007,29.76125,"AK","Total Personal Income","Billion Dollars","Nominal"
2008,32.86065,"AK","Total Personal Income","Billion Dollars","Nominal"
2009,32.995425,"AK","Total Personal Income","Billion Dollars","Nominal"
2010,35.374325,"AK","Total Personal Income","Billion Dollars","Nominal"
2011,37.870575,"AK","Total Personal Income","Billion Dollars","Nominal"
2012,38.9971,"AK","Total Personal Income","Billion Dollars","Nominal"
2013,38.565075,"AK","Total Personal Income","Billion Dollars","Nominal"
2014,40.642125,"AK","Total Personal Income","Billion Dollars","Nominal"
2015,41.91865,"AK","Total Personal Income","Billion Dollars","Nominal"
2016,41.2855,"AK","Total Personal Income","Billion Dollars","Nominal"
2017,41.919375,"AK","Total Personal Income","Billion Dollars","Nominal"
2018,43.52275,"AK","Total Personal Income","Billion Dollars","Nominal"
2019,44.459675,"AK","Total Personal Income","Billion Dollars","Nominal"
2020,45.339625,"AK","Total Personal Income","Billion Dollars","Nominal"
2021,48.183675,"AK","Total Personal Income","Billion Dollars","Nominal"
2022,50.60675,"AK","Total Personal Income","Billion Dollars","Nominal"
2023,52.52,"AK","Total Personal Income","Billion Dollars","Nominal"
2024,55.0883,"AK","Total Personal Income","Billion Dollars","Nominal"
1948,0.93455,"AZ","Total Personal Income","Billion Dollars","Nominal"
1949,0.95875,"AZ","Total Personal Income","Billion Dollars","Nominal"
1950,1.064375,"AZ","Total Personal Income","Billion Dollars","Nominal"
1951,1.316825,"AZ","Total Personal Income","Billion Dollars","Nominal"
1952,1.49755,"AZ","Total Personal Income","Billion Dollars","Nominal"
1953,1.58995,"AZ","Total Personal Income","Billion Dollars","Nominal"
1954,1.6477,"AZ","Total Personal Income","Billion Dollars","Nominal"
1955,1.809275,"AZ","Total Personal Income","Billion Dollars","Nominal"
1956,2.03955,"AZ","Total Personal Income","Billion Dollars","Nominal"
1957,2.232075,"AZ","Total Personal Income","Billion Dollars","Nominal"
1958,2.3722,"AZ","Total Personal Income","Billion Dollars","Nominal"
1959,2.618375,"AZ","Total Personal Income","Billion Dollars","Nominal"
1960,2.8558,"AZ","Total Personal Income","Billion Dollars","Nominal"
1961,3.10985,"AZ","Total Personal Income","Billion Dollars","Nominal"
1962,3.349775,"AZ","Total Personal Income","Billion Dollars","Nominal"
1963,3.521575,"AZ","Total Personal Income","Billion Dollars","Nominal"
1964,3.7771,"AZ","Total Personal Income","Billion Dollars","Nominal"
1965,4.0038,"AZ","Total Personal Income","Billion Dollars","Nominal"
1966,4.359725,"AZ","Total Personal Income","Billion Dollars","Nominal"
1967,4.73935,"AZ","Total Personal Income","Billion Dollars","Nominal"
1968,5.43735,"AZ","Total Personal Income","Billion Dollars","Nominal"
1969,6.32705,"AZ","Total Personal Income","Billion Dollars","Nominal"
1970,7.216125,"AZ","Total Personal Income","Billion Dollars","Nominal"
1971,8.25555,"AZ","Total Personal Income","Billion Dollars","Nominal"
1972,9.46465,"AZ","Total Personal Income","Billion Dollars","Nominal"
1973,10.9342,"AZ","Total Personal Income","Billion Dollars","Nominal"
1974,12.336125,"AZ","Total Personal Income","Billion Dollars","Nominal"
1975,13.31775,"AZ","Total Personal Income","Billion Dollars","Nominal"
1976,14.813175,"AZ","Total Personal Income","Billion Dollars","Nominal"
1977,16.6468,"AZ","Total Personal Income","Billion Dollars","Nominal"
1978,19.5596,"AZ","Total Personal Income","Billion Dollars","Nominal"
1979,22.987025,"AZ","Total Personal Income","Billion Dollars","Nominal"
1980,26.48995,"AZ","Total Personal Income","Billion Dollars","Nominal"
1981,30.2233,"AZ","Total Personal Income","Billion Dollars","Nominal"
1982,32.16145,"AZ","Total Personal Income","Billion Dollars","Nominal"
1983,35.454875,"AZ","Total Personal Income","Billion Dollars","Nominal"
1984,39.988825,"AZ","Total Personal Income","Billion Dollars","Nominal"
1985,44.5291,"AZ","Total Personal Income","Billion Dollars","Nominal"
1986,48.6977,"AZ","Total Personal Income","Billion Dollars","Nominal"
1987,52.270175,"AZ","Total Personal Income","Billion Dollars","Nominal"
1988,56.652875,"AZ","Total Personal Income","Billion Dollars","Nominal"
1989,60.776825,"AZ","Total Personal Income","Billion Dollars","Nominal"
1990,63.797725,"AZ","Total Personal Income","Billion Dollars","Nominal"
1991,67.229575,"AZ","Total Personal Income","Billion Dollars","Nominal"
1992,71.607975,"AZ","Total Personal Income","Billion Dollars","Nominal"
1993,76.93325,"AZ","Total Personal Income","Billion Dollars","Nominal"
1994,84.2056,"AZ","Total Personal Income","Billion Dollars","Nominal"
1995,91.8073,"AZ","Total Personal Income","Billion Dollars","Nominal"
1996,99.449975,"AZ","Total Personal Income","Billion Dollars","Nominal"
1997,107.797475,"AZ","Total Personal Income","Billion Dollars","Nominal"
1998,117.83495,"AZ","Total Personal Income","Billion Dollars","Nominal"
1999,124.922275,"AZ","Total Personal Income","Billion Dollars","Nominal"
2000,135.57375,"AZ","Total Personal Income","Billion Dollars","Nominal"
2001,142.0978,"AZ","Total Personal Income","Billion Dollars","Nominal"
2002,147.4552,"AZ","Total Personal Income","Billion Dollars","Nominal"
2003,156.408825,"AZ","Total Personal Income","Billion Dollars","Nominal"
2004,170.442975,"AZ","Total Personal Income","Billion Dollars","Nominal"
2005,187.724925,"AZ","Total Personal Income","Billion Dollars","Nominal"
2006,207.76265,"AZ","Total Personal Income","Billion Dollars","Nominal"
2007,219.579075,"AZ","Total Personal Income","Billion Dollars","Nominal"
2008,223.495125,"AZ","Total Personal Income","Billion Dollars","Nominal"
2009,212.28355,"AZ","Total Personal Income","Billion Dollars","Nominal"
2010,216.223625,"AZ","Total Personal Income","Billion Dollars","Nominal"
2011,227.203275,"AZ","Total Personal Income","Billion Dollars","Nominal"
2012,236.431425,"AZ","Total Personal Income","Billion Dollars","Nominal"
2013,242.030275,"AZ","Total Personal Income","Billion Dollars","Nominal"
2014,253.711625,"AZ","Total Personal Income","Billion Dollars","Nominal"
2015,267.474025,"AZ","Total Personal Income","Billion Dollars","Nominal"
2016,279.69675,"AZ","Total Personal Income","Billion Dollars","Nominal"
2017,297.2615,"AZ","Total Personal Income","Billion Dollars","Nominal"
2018,315.45895,"AZ","Total Personal Income","Billion Dollars","Nominal"
2019,337.2572,"AZ","Total Personal Income","Billion Dollars","Nominal"
2020,374.007225,"AZ","Total Personal Income","Billion Dollars","Nominal"
2021,414.355375,"AZ","Total Personal Income","Billion Dollars","Nominal"
2022,434.33885,"AZ","Total Personal Income","Billion Dollars","Nominal"
2023,464.77485,"AZ","Total Personal Income","Billion Dollars","Nominal"
2024,486.2844,"AZ","Total Personal Income","Billion Dollars","Nominal"
1948,1.60745,"AR","Total Personal Income","Billion Dollars","Nominal"
1949,1.508825,"AR","Total Personal Income","Billion Dollars","Nominal"
1950,1.620725,"AR","Total Personal Income","Billion Dollars","Nominal"
1951,1.843575,"AR","Total Personal Income","Billion Dollars","Nominal"
1952,1.917175,"AR","Total Personal Income","Billion Dollars","Nominal"
1953,1.929425,"AR","Total Personal Income","Billion Dollars","Nominal"
1954,1.9082,"AR","Total Personal Income","Billion Dollars","Nominal"
1955,2.073975,"AR","Total Personal Income","Billion Dollars","Nominal"
1956,2.14965,"AR","Total Personal Income","Billion Dollars","Nominal"
1957,2.218925,"AR","Total Personal Income","Billion Dollars","Nominal"
1958,2.3111,"AR","Total Personal Income","Billion Dollars","Nominal"
1959,2.522275,"AR","Total Personal Income","Billion Dollars","Nominal"
1960,2.547975,"AR","Total Personal Income","Billion Dollars","Nominal"
1961,2.771625,"AR","Total Personal Income","Billion Dollars","Nominal"
1962,2.965575,"AR","Total Personal Income","Billion Dollars","Nominal"
1963,3.14215,"AR","Total Personal Income","Billion Dollars","Nominal"
1964,3.412325,"AR","Total Personal Income","Billion Dollars","Nominal"
1965,3.602125,"AR","Total Personal Income","Billion Dollars","Nominal"
1966,4.00485,"AR","Total Personal Income","Billion Dollars","Nominal"
1967,4.254275,"AR","Total Personal Income","Billion Dollars","Nominal"
1968,4.600925,"AR","Total Personal Income","Billion Dollars","Nominal"
1969,5.12855,"AR","Total Personal Income","Billion Dollars","Nominal"
1970,5.6265,"AR","Total Personal Income","Billion Dollars","Nominal"
1971,6.2631,"AR","Total Personal Income","Billion Dollars","Nominal"
1972,7.0712,"AR","Total Personal Income","Billion Dollars","Nominal"
1973,8.376075,"AR","Total Personal Income","Billion Dollars","Nominal"
1974,9.35355,"AR","Total Personal Income","Billion Dollars","Nominal"
1975,10.2921,"AR","Total Personal Income","Billion Dollars","Nominal"
1976,11.3789,"AR","Total Personal Income","Billion Dollars","Nominal"
1977,12.66175,"AR","Total Personal Income","Billion Dollars","Nominal"
1978,14.668775,"AR","Total Personal Income","Billion Dollars","Nominal"
1979,16.089125,"AR","Total Personal Income","Billion Dollars","Nominal"
1980,17.39625,"AR","Total Personal Income","Billion Dollars","Nominal"
1981,19.703,"AR","Total Personal Income","Billion Dollars","Nominal"
1982,20.696475,"AR","Total Personal Income","Billion Dollars","Nominal"
1983,21.94685,"AR","Total Personal Income","Billion Dollars","Nominal"
1984,24.44655,"AR","Total Personal Income","Billion Dollars","Nominal"
1985,25.9823,"AR","Total Personal Income","Billion Dollars","Nominal"
1986,27.302975,"AR","Total Personal Income","Billion Dollars","Nominal"
1987,28.356825,"AR","Total Personal Income","Billion Dollars","Nominal"
1988,30.48975,"AR","Total Personal Income","Billion Dollars","Nominal"
1989,32.69475,"AR","Total Personal Income","Billion Dollars","Nominal"
1990,34.4562,"AR","Total Personal Income","Billion Dollars","Nominal"
1991,36.494275,"AR","Total Personal Income","Billion Dollars","Nominal"
1992,39.697525,"AR","Total Personal Income","Billion Dollars","Nominal"
1993,41.62285,"AR","Total Personal Income","Billion Dollars","Nominal"
1994,44.2522,"AR","Total Personal Income","Billion Dollars","Nominal"
1995,47.112225,"AR","Total Personal Income","Billion Dollars","Nominal"
1996,49.96955,"AR","Total Personal Income","Billion Dollars","Nominal"
1997,52.480575,"AR","Total Personal Income","Billion Dollars","Nominal"
1998,55.68635,"AR","Total Personal Income","Billion Dollars","Nominal"
1999,57.92205,"AR","Total Personal Income","Billion Dollars","Nominal"
2000,60.88615,"AR","Total Personal Income","Billion Dollars","Nominal"
2001,64.16855,"AR","Total Personal Income","Billion Dollars","Nominal"
2002,65.698825,"AR","Total Personal Income","Billion Dollars","Nominal"
2003,69.656375,"AR","Total Personal Income","Billion Dollars","Nominal"
2004,74.30865,"AR","Total Personal Income","Billion Dollars","Nominal"
2005,77.99035,"AR","Total Personal Income","Billion Dollars","Nominal"
2006,82.891625,"AR","Total Personal Income","Billion Dollars","Nominal"
2007,88.41065,"AR","Total Personal Income","Billion Dollars","Nominal"
2008,92.435675,"AR","Total Personal Income","Billion Dollars","Nominal"
2009,90.992275,"AR","Total Personal Income","Billion Dollars","Nominal"
2010,94.126975,"AR","Total Personal Income","Billion Dollars","Nominal"
2011,100.44955,"AR","Total Personal Income","Billion Dollars","Nominal"
2012,107.007375,"AR","Total Personal Income","Billion Dollars","Nominal"
2013,107.209275,"AR","Total Personal Income","Billion Dollars","Nominal"
2014,113.17155,"AR","Total Personal Income","Billion Dollars","Nominal"
2015,116.6324,"AR","Total Personal Income","Billion Dollars","Nominal"
2016,119.758825,"AR","Total Personal Income","Billion Dollars","Nominal"
2017,123.8254,"AR","Total Personal Income","Billion Dollars","Nominal"
2018,128.970825,"AR","Total Personal Income","Billion Dollars","Nominal"
2019,131.39475,"AR","Total Personal Income","Billion Dollars","Nominal"
2020,141.985725,"AR","Total Personal Income","Billion Dollars","Nominal"
2021,160.036725,"AR","Total Personal Income","Billion Dollars","Nominal"
2022,168.53475,"AR","Total Personal Income","Billion Dollars","Nominal"
2023,176.809075,"AR","Total Personal Income","Billion Dollars","Nominal"
2024,182.7085,"AR","Total Personal Income","Billion Dollars","Nominal"
1948,18.2745,"CA","Total Personal Income","Billion Dollars","Nominal"
1949,18.6017,"CA","Total Personal Income","Billion Dollars","Nominal"
1950,20.788125,"CA","Total Personal Income","Billion Dollars","Nominal"
1951,24.117225,"CA","Total Personal Income","Billion Dollars","Nominal"
1952,26.794075,"CA","Total Personal Income","Billion Dollars","Nominal"
1953,28.728125,"CA","Total Personal Income","Billion Dollars","Nominal"
1954,29.603675,"CA","Total Personal Income","Billion Dollars","Nominal"
1955,32.55005,"CA","Total Personal Income","Billion Dollars","Nominal"
1956,35.615675,"CA","Total Personal Income","Billion Dollars","Nominal"
1957,38.269525,"CA","Total Personal Income","Billion Dollars","Nominal"
1958,40.2524,"CA","Total Personal Income","Billion Dollars","Nominal"
1959,44.03135,"CA","Total Personal Income","Billion Dollars","Nominal"
1960,46.52115,"CA","Total Personal Income","Billion Dollars","Nominal"
1961,49.266575,"CA","Total Personal Income","Billion Dollars","Nominal"
1962,53.0855,"CA","Total Personal Income","Billion Dollars","Nominal"
1963,56.74005,"CA","Total Personal Income","Billion Dollars","Nominal"
1964,61.4046,"CA","Total Personal Income","Billion Dollars","Nominal"
1965,65.617475,"CA","Total Personal Income","Billion Dollars","Nominal"
1966,71.35595,"CA","Total Personal Income","Billion Dollars","Nominal"
1967,76.731575,"CA","Total Personal Income","Billion Dollars","Nominal"
1968,84.055725,"CA","Total Personal Income","Billion Dollars","Nominal"
1969,92.16005,"CA","Total Personal Income","Billion Dollars","Nominal"
1970,99.417475,"CA","Total Personal Income","Billion Dollars","Nominal"
1971,105.9872,"CA","Total Personal Income","Billion Dollars","Nominal"
1972,116.351075,"CA","Total Personal Income","Billion Dollars","Nominal"
1973,127.77725,"CA","Total Personal Income","Billion Dollars","Nominal"
1974,142.507425,"CA","Total Personal Income","Billion Dollars","Nominal"
1975,157.639925,"CA","Total Personal Income","Billion Dollars","Nominal"
1976,174.9248,"CA","Total Personal Income","Billion Dollars","Nominal"
1977,194.032875,"CA","Total Personal Income","Billion Dollars","Nominal"
1978,220.640025,"CA","Total Personal Income","Billion Dollars","Nominal"
1979,250.18155,"CA","Total Personal Income","Billion Dollars","Nominal"
1980,284.41665,"CA","Total Personal Income","Billion Dollars","Nominal"
1981,319.35685,"CA","Total Personal Income","Billion Dollars","Nominal"
1982,342.144675,"CA","Total Personal Income","Billion Dollars","Nominal"
1983,369.9258,"CA","Total Personal Income","Billion Dollars","Nominal"
1984,410.32165,"CA","Total Personal Income","Billion Dollars","Nominal"
1985,443.888525,"CA","Total Personal Income","Billion Dollars","Nominal"
1986,476.484475,"CA","Total Personal Income","Billion Dollars","Nominal"
1987,511.613,"CA","Total Personal Income","Billion Dollars","Nominal"
1988,557.618025,"CA","Total Personal Income","Billion Dollars","Nominal"
1989,600.1936,"CA","Total Personal Income","Billion Dollars","Nominal"
1990,643.6238,"CA","Total Personal Income","Billion Dollars","Nominal"
1991,666.607625,"CA","Total Personal Income","Billion Dollars","Nominal"
1992,702.02345,"CA","Total Personal Income","Billion Dollars","Nominal"
1993,719.0149,"CA","Total Personal Income","Billion Dollars","Nominal"
1994,741.651775,"CA","Total Personal Income","Billion Dollars","Nominal"
1995,779.604725,"CA","Total Personal Income","Billion Dollars","Nominal"
1996,828.14725,"CA","Total Personal Income","Billion Dollars","Nominal"
1997,876.4403,"CA","Total Personal Income","Billion Dollars","Nominal"
1998,953.36055,"CA","Total Personal Income","Billion Dollars","Nominal"
1999,1022.68275,"CA","Total Personal Income","Billion Dollars","Nominal"
2000,1127.550075,"CA","Total Personal Income","Billion Dollars","Nominal"
2001,1169.36635,"CA","Total Personal Income","Billion Dollars","Nominal"
2002,1187.28095,"CA","Total Personal Income","Billion Dollars","Nominal"
2003,1240.604175,"CA","Total Personal Income","Billion Dollars","Nominal"
2004,1315.172225,"CA","Total Personal Income","Billion Dollars","Nominal"
2005,1387.883825,"CA","Total Personal Income","Billion Dollars","Nominal"
2006,1493.217,"CA","Total Personal Income","Billion Dollars","Nominal"
2007,1561.30715,"CA","Total Personal Income","Billion Dollars","Nominal"
2008,1588.294575,"CA","Total Personal Income","Billion Dollars","Nominal"
2009,1539.818675,"CA","Total Personal Income","Billion Dollars","Nominal"
2010,1609.997475,"CA","Total Personal Income","Billion Dollars","Nominal"
2011,1713.428025,"CA","Total Personal Income","Billion Dollars","Nominal"
2012,1814.763025,"CA","Total Personal Income","Billion Dollars","Nominal"
2013,1840.88525,"CA","Total Personal Income","Billion Dollars","Nominal"
2014,1955.718,"CA","Total Personal Income","Billion Dollars","Nominal"
2015,2097.049575,"CA","Total Personal Income","Billion Dollars","Nominal"
2016,2191.138025,"CA","Total Personal Income","Billion Dollars","Nominal"
2017,2295.04865,"CA","Total Personal Income","Billion Dollars","Nominal"
2018,2411.055125,"CA","Total Personal Income","Billion Dollars","Nominal"
2019,2539.7474,"CA","Total Personal Income","Billion Dollars","Nominal"
2020,2769.103025,"CA","Total Personal Income","Billion Dollars","Nominal"
2021,3009.55655,"CA","Total Personal Income","Billion Dollars","Nominal"
2022,3003.826075,"CA","Total Personal Income","Billion Dollars","Nominal"
2023,3166.13535,"CA","Total Personal Income","Billion Dollars","Nominal"
2024,3352.27525,"CA","Total Personal Income","Billion Dollars","Nominal"
1948,1.880625,"CO","Total Personal Income","Billion Dollars","Nominal"
1949,1.914575,"CO","Total Personal Income","Billion Dollars","Nominal"
1950,2.098875,"CO","Total Personal Income","Billion Dollars","Nominal"
1951,2.493775,"CO","Total Personal Income","Billion Dollars","Nominal"
1952,2.6925,"CO","Total Personal Income","Billion Dollars","Nominal"
1953,2.725775,"CO","Total Personal Income","Billion Dollars","Nominal"
1954,2.80865,"CO","Total Personal Income","Billion Dollars","Nominal"
1955,3.05975,"CO","Total Personal Income","Billion Dollars","Nominal"
1956,3.375975,"CO","Total Personal Income","Billion Dollars","Nominal"
1957,3.699075,"CO","Total Personal Income","Billion Dollars","Nominal"
1958,3.787125,"CO","Total Personal Income","Billion Dollars","Nominal"
1959,4.067975,"CO","Total Personal Income","Billion Dollars","Nominal"
1960,4.353425,"CO","Total Personal Income","Billion Dollars","Nominal"
1961,4.683925,"CO","Total Personal Income","Billion Dollars","Nominal"
1962,4.9421,"CO","Total Personal Income","Billion Dollars","Nominal"
1963,5.1744,"CO","Total Personal Income","Billion Dollars","Nominal"
1964,5.47415,"CO","Total Personal Income","Billion Dollars","Nominal"
1965,5.84065,"CO","Total Personal Income","Billion Dollars","Nominal"
1966,6.275775,"CO","Total Personal Income","Billion Dollars","Nominal"
1967,6.76345,"CO","Total Personal Income","Billion Dollars","Nominal"
1968,7.50275,"CO","Total Personal Income","Billion Dollars","Nominal"
1969,8.43885,"CO","Total Personal Income","Billion Dollars","Nominal"
1970,9.5402,"CO","Total Personal Income","Billion Dollars","Nominal"
